GeoHipster,Lat-Lon,Location,Photo URL
Bill Dollins,"38.888741, -76.9756433","US Army National Guard Armory, Washington, DC","<a href=""https://twitter.com/billdollins/status/1048684874385772546"" target=""_blank"">Photo</a>"
Alex Leith,"-41.4367922, 147.14217","Launceston, Tasmania","<a href=""https://twitter.com/alexgleith/status/1077799486087299072"" target=""_blank"">Photo</a>"
Don Meltz & wife Terry,"43.5398755, -74.004833","Crane Mountain, New York","	
<a href=""https://www.facebook.com/photo.php?fbid=10211592234254261&set=p.10211592234254261&type=3&theater"" target=""_blank"">Photo</a>"
Terry Griffin,"-31.9537255, 115.8605209","Perth Western Australia, Australia","<a href=""https://twitter.com/SpacePlowboy/status/972696284107702272"" target=""_blank"">Photo</a>"
Steven Feldman,"37.7661594, -122.4311157","Duboce Triangle, 
San Francisco, CA","<a href=""https://twitter.com/StevenFeldman/status/597467035291914240"" target=""_blank"">Photo</a>"
Steven Feldman,"52.3461838, -1.5846928","Kenilworth, Warwickshire, United Kingdom","<a href=""https://twitter.com/elliothartley/status/670749200301297665"" target=""_blank"">Photo</a>"
Don Meltz,"44.6350657, -73.3098193","South Hero, Vermont","	
<a href=""https://twitter.com/Don_MaristGeo/status/877941777361022977"" target=""_blank"">Photo</a>"
Raf Roset,"64.2558593, -21.1325508","Thingvellir, Iceland","<a href=""https://twitter.com/FakeRaf/status/979824498055761921?s=17"" target=""_blank"">Photo</a>"
Randal Hale,"37.7357282, -84.320207","Richmond, KY","<a href=""https://twitter.com/rjhale/status/951457338845777921?s=03"" target=""_blank"">Photo</a>"
Don Meltz,"43.554806, -73.9807253","Crane Mountain, New York","	
<a href=""https://www.facebook.com/photo.php?fbid=10211592051809700&set=a.1372524465976.54718.1017704836&type=3&theater"" target=""_blank"">Photo</a>"
"Michael Terner, Mike Dolbow, David Bitner","46.8249959, -92.0868496","Duluth, MN","<a href=""https://twitter.com/MT_AppGeo/status/791851587429728256"" target=""_blank"">Photo</a>"
Michael Terner,"50.7035559, 7.045946","Bonn, Germany","<a href=""https://twitter.com/MT_AppGeo/status/768703745609707520"" target=""_blank"">Photo</a>"
Steven Ramage,"28.6469655, 77.0932634","Delhi, India","<a href=""https://twitter.com/Steven_Ramage/status/642033536472510464/photo/1"" target=""_blank"">Photo</a>"
Gary Gale,"60.1641013, 24.9001867",Helsinki,"<a href=""https://twitter.com/vicchi/status/747133409777037312"" target=""_blank"">Photo</a>"
Randal Hale,"36.0911613, -87.2828908","Montgomery Bell State Park, TN","<a href=""https://twitter.com/rjhale/status/989154067342651394"" target=""_blank"">Photo</a>"
Nathan Woodrow,"-27.9869398, 153.3237028","Gold Coast QLD, Australia","<a href=""https://twitter.com/madmanwoo/status/618601283436609536/photo/1"" target=""_blank"">Photo</a>"
Hugh Saalmans,"-37.8009699, 144.9791728","Fitzroy, Victoria, Australia","<a href=""https://www.youtube.com/watch?v=Q8tt5oiBmMc&feature=youtu.be"" target=""_blank"">Video</a>"
Alex Leith,"-6.8228064, 39.2730585","Dar es Salaam, Tanzania","<a href=""https://twitter.com/alexgleith/status/1035099502946992129"" target=""_blank"">Photo</a>"
Don Meltz & son Isaac,"42.2101536, -73.8540529","Catskill, NY","<a href=""https://www.facebook.com/photo.php?fbid=10211467953987332&set=a.1111219733521.19688.1017704836&type=3&theater"" target=""_blank"">Photo</a>"
Don Meltz & daughter Hilary,"42.2532299, -73.8919042","Catskill, NY","<a href=""https://www.facebook.com/photo.php?fbid=10211468607363666&set=p.10211468607363666&type=3&theater"" target=""_blank"">Photo</a>"
Randal Hale,"35.2109531, -80.9639479","Charlotte, NC","<a href=""https://twitter.com/hale_stuart/status/1084816051727159296"" target=""_blank"">Photo</a>"
Michael Gurley,"40.3506999, -74.6627598","Princeton, NJ","<a href=""https://twitter.com/atanas/status/1097270085054595072"" target=""_blank"">Photo</a>"
Harel Dan,"31.794033, 35.242514","Jerusalem, Israel","<a href=""https://twitter.com/HarelDan/status/1100373886108082177"" target=""_blank"">Photo</a>"
Randal Hale,"35.1586531, -84.6787736","Ocoee River, Tennessee","<a href=""https://twitter.com/rjhale/status/1100409779971747840"" target=""_blank"">Photo</a>"
Randal Hale,"35.2058611, -84.6578041",upper end of the Ocoee River,"<a href=""https://twitter.com/rjhale/status/1100412508936884225"" target=""_blank"">Photo</a>"
Randal Hale,"35.2872249, -83.6674753","Nantahala National Forest, Nantahala, North Carolina","<a href=""https://twitter.com/rjhale/status/1100432131334066181"" target=""_blank"">Photo</a>"
Randal Hale,"36.1006324, -80.2480045","Winston-Salem, NC","<a href=""https://twitter.com/rjhale/status/1100525967263653888"" target=""_blank"">Photo</a>"
Randal Hale,"35.0945023,-84.6482573","Ocoee Dam NO.1, Tennessee","<a href=""https://twitter.com/rjhale/status/1100398535600685063"" target=""_blank"">Photo</a>"
Terry Griffin,"39.1889442, -96.5813076","Kansas State University, Manhattan, KS","<a href=""https://twitter.com/SpacePlowboy/status/1114256805587234817"" target=""_blank"">Photo</a>"
Alex Leith,"-6.2302211, 106.8446711","Jakarta, Indonesia","<a href=""https://twitter.com/alexgleith/status/1117382822187024385"" target=""_blank"">Photo</a>"
Michael Terner,"32.7613817, -117.234004","San Diego, CA","<a href=""https://twitter.com/TernerGeo/status/1117866044964474880"" target=""_blank"">Photo</a>"
Randal Hale & Nathan,"32.7626228, -117.2346061","San Diego, CA","<a href=""https://twitter.com/rjhale/status/1118222018690727936"" target=""_blank"">Photo</a>"
Jimmy Rocks,"32.7608091, -117.2340717","San Diego, CA","<a href=""https://twitter.com/jimmyrocks/status/1118595743948738560"" target=""_blank"">Photo</a>"
Randal Hale & joe larson,"32.7598231, -117.2343969","San Diego, CA","<a href=""https://twitter.com/rjhale/status/1118237265380012032?s=03"" target=""_blank"">Photo</a>"
"Jimmy Rocks, Randal Hale, Glenn Letham, Kurt Menke, Guido Stein","32.7597111, -117.2366379","San Diego, CA","<a href=""https://twitter.com/jimmyrocks/status/1118911309645406208"" target=""_blank"">Photo</a>"
Randal Hale & Maggie Cawley,"32.7632188, -117.2354993","San Diego, CA","<a href=""https://twitter.com/rjhale/status/1118238484760678400?s=03"" target=""_blank"">Photo</a>"
